,CODMUNRES
355030,1213688
3550308,682498
351880,120957
350950,113722
354780,84250
353440,71304
354870,70312
354340,68620
354850,67876
355220,67363
3518800,59837
3509502,59156
354990,58951
354980,51269
352590,43700
3547809,43096
353870,42796
353060,42273
350600,41478
355100,40246
3548500,40081
3534401,39352
3548708,36289
352940,36133
351380,35290
351620,34868
354100,34825
3543402,32694
351870,32153
3552205,31632
355410,31526
352690,31495
351060,30743
3549904,27642
350570,27631
352310,27230
355250,26771
350320,26299
354890,26276
352900,25971
354140,25671
350280,24889
354390,23743
354880,23724
355280,23646
350160,23599
352440,22879
3549805,22822
3525904,22147
355240,21721
3538709,21498
351500,21367
3506003,21159
3551009,21126
3513801,20715
351300,20584
3530607,20051
352050,19692
354580,19037
350760,18849
3529401,18781
352250,17658
351907,17396
352390,17253
352230,17049
352530,16986
3518701,16690
3516200,16474
353070,16416
350410,16415
351110,16367
350550,16319
353800,15685
351570,15428
350750,15425
3554102,15370
352220,15256
3510609,15177
351840,14964
3526902,14735
3541000,14143
350330,13978
3548807,13807
355400,13515
351630,13251
3523107,13247
353470,13180
351640,13173
3552502,13159
3503208,12894
352210,12859
3548906,12710
350400,12670
3500000,12504
3529005,12379
350650,12327
3543907,12326
351050,12179
354520,11954
3541406,11936
3552809,11849
355700,11841
3524402,11837
351350,11775
354910,11744
355170,11700
3502804,11641
354330,11630
355620,11553
353980,11391
352340,11144
3501608,11028
3505708,11021
353080,10974
3515004,10946
352670,10712
355710,10702
352720,10690
352240,10606
350450,10457
352710,10147
352260,10037
355500,9893
351340,9750
350610,9516
3552403,9430
350850,9347
353760,9265
3507605,9263
352430,9182
355060,9127
350000,9013
351550,8984
3513009,8982
353930,8926
3522307,8806
3505500,8775
3523909,8731
353050,8718
352930,8708
3545803,8570
354730,8566
355650,8532
351970,8480
350190,8458
352850,8386
3520509,8194
3511102,8192
350900,8090
352500,8027
353730,8002
3525300,7908
3522505,7905
3522208,7863
355540,7838
350960,7757
350210,7757
350390,7655
3518404,7651
351510,7589
3515707,7577
3507506,7466
3504107,7436
3530706,7414
353110,7374
3538006,7356
353650,7229
355370,7156
350590,7038
3516408,7008
354970,6971
3503307,6913
3519071,6826
351960,6816
353780,6815
3554003,6765
3513504,6697
353030,6596
352680,6545
355670,6541
355070,6512
3534708,6497
351440,6469
3516309,6450
3504008,6412
3549102,6396
353390,6375
352480,6344
351670,6194
354070,6161
354260,6108
350920,6079
352320,6042
351518,5990
3527207,5984
353130,5965
3543303,5939
350970,5828
3522406,5825
354680,5818
354060,5759
351020,5739
351280,5633
354640,5632
3557006,5548
352270,5526
3539806,5513
3504503,5506
3506508,5503
353340,5492
3530805,5462
351040,5445
353550,5442
354940,5384
3513405,5361
3522604,5345
3545209,5271
3522109,5246
3526704,5226
3551702,5224
355210,5154
354130,5146
353180,5146
355010,5145
3523404,5144
3510500,5139
352410,5124
3557105,5108
350700,5091
3527108,5085
3555000,5013
353350,5007
3506102,5000
354530,4929
3508504,4907
355640,4903
354150,4893
350010,4862
353670,4845
352840,4750
3550605,4741
3524303,4739
3556206,4706
351740,4691
353710,4656
350635,4642
3530508,4559
3539301,4552
350530,4547
350250,4532
352470,4516
3501905,4475
350520,4431
354660,4426
353460,4421
355040,4384
355450,4339
353430,4312
354160,4311
3525003,4289
350380,4274
352510,4245
3556503,4237
350070,4207
351080,4157
350030,4141
354750,4100
353880,4047
351000,4036
354220,4023
351820,4012
3515509,4010
3502101,3992
355645,3981
3519709,3963
355480,3948
3528502,3938
3537602,3933
3529302,3933
351150,3926
352570,3912
351370,3889
352030,3851
355160,3836
350840,3832
3537305,3821
3515103,3815
354410,3812
3509601,3794
3555406,3791
350860,3747
352400,3726
353950,3716
351860,3651
355150,3646
351310,3600
3523206,3567
353890,3546
353010,3530
3553708,3526
3516705,3464
350290,3456
354020,3455
352640,3428
355020,3420
3505906,3418
3549706,3404
3509007,3396
351410,3390
353740,3350
352010,3333
3510203,3318
3537800,3302
353860,3288
3550704,3284
3503901,3274
3533908,3268
3542602,3256
3509700,3245
352730,3233
3519600,3196
354630,3194
355340,3173
3515186,3168
352920,3158
353530,3155
352620,3142
350660,3134
3526803,3127
3514403,3122
3530300,3081
353790,3079
3540705,3064
351830,3063
351930,3055
3540606,3004
3524808,2995
350170,2993
350925,2990
3546801,2979
352180,2957
354770,2929
353920,2926
355380,2921
3531308,2921
3546405,2907
352520,2890
350270,2889
355330,2887
354760,2885
3547304,2854
352000,2833
350130,2831
354400,2824
352044,2824
353190,2822
353140,2818
3510401,2808
3549409,2795
350940,2772
3550100,2752
3531100,2737
351220,2730
3509205,2722
352600,2714
3535507,2707
3541307,2704
3502507,2675
3512803,2675
3524105,2674
350560,2670
3522703,2665
3556701,2658
350790,2634
3528403,2605
350050,2594
3552106,2570
351360,2560
350220,2539
352740,2536
3536505,2502
352610,2488
3556404,2485
354000,2478
355630,2477
3541505,2469
3536703,2466
352100,2458
3500105,2456
350780,2452
350880,2433
3510807,2429
353150,2422
351140,2419
354800,2388
352990,2384
350580,2374
352970,2374
354240,2374
3533502,2354
351230,2321
3533403,2317
3517406,2306
351100,2289
353300,2287
3537107,2270
352040,2262
3545308,2258
353810,2256
353620,2243
3505302,2243
355430,2234
3541604,2219
3531803,2213
351770,2209
355510,2206
350870,2202
351760,2199
350810,2198
351200,2188
3538808,2186
351240,2182
3554508,2182
350800,2173
3505203,2168
353240,2150
3542206,2150
3550407,2147
3534609,2139
3500709,2135
3500303,2131
3534302,2125
355680,2117
3507001,2114
3520301,2114
3547502,2110
352190,2105
350710,2095
351540,2066
352170,2044
354080,2034
353850,2021
352140,2009
353020,1996
352280,1987
354500,1978
3551603,1969
351750,1967
354300,1966
3510005,1965
350100,1941
354425,1937
354560,1930
354670,1928
3518206,1928
3544103,1920
3508603,1899
3513702,1897
353580,1885
350740,1880
3546603,1879
352460,1878
355270,1876
351030,1873
353560,1871
355090,1869
351160,1863
354120,1856
3554805,1847
354075,1845
351450,1839
352350,1839
351070,1833
350420,1827
3550209,1824
355600,1823
3530102,1818
3520103,1818
3525706,1801
3540200,1800
352800,1795
352090,1793
3525102,1793
3524709,1782
3514106,1779
3518602,1763
3537404,1753
351390,1748
350460,1747
3556453,1741
353700,1736
353540,1736
3538600,1736
3506359,1732
353820,1724
353940,1716
3508405,1716
3539509,1700
355190,1697
3518305,1693
3513108,1687
353490,1687
3526209,1684
3538907,1680
355720,1678
3546306,1678
351170,1675
3551504,1668
355260,1658
3526407,1657
3502705,1651
3511508,1649
350630,1648
3535309,1646
3509254,1630
350115,1620
354600,1619
352880,1607
351490,1605
355360,1603
352980,1589
352360,1586
3503802,1585
355180,1582
353260,1580
3553401,1577
350275,1576
352290,1567
351480,1565
351600,1552
3529203,1551
355660,1551
354995,1549
3547700,1543
352550,1535
350670,1534
353600,1528
355080,1522
3513603,1519
3537909,1517
3553807,1503
353900,1502
353910,1492
350990,1479
354090,1479
3506607,1473
3529906,1469
352130,1469
3553302,1469
352042,1462
3520004,1459
3519303,1453
353630,1453
3526100,1451
354170,1450
3509403,1446
351690,1440
352330,1439
3521804,1439
3502903,1438
351940,1423
3539202,1413
3531902,1407
3501707,1406
350680,1406
353500,1405
354380,1402
353520,1398
3507902,1381
3547601,1378
3527405,1377
3508702,1369
355000,1368
3505609,1362
354290,1351
351700,1348
3531407,1345
354860,1343
3512209,1339
3501301,1337
351850,1327
3502200,1316
3517604,1314
355560,1313
354540,1312
353200,1312
355610,1304
3527306,1303
355395,1298
3529708,1295
355470,1294
3526001,1292
3508801,1290
3524006,1290
3544004,1282
353250,1278
3500501,1273
351910,1268
3517703,1266
351720,1264
354370,1253
351515,1252
355580,1248
3531506,1243
3540002,1234
3543006,1230
3521705,1210
350480,1209
3512308,1203
350490,1203
351790,1201
3508009,1196
3556305,1194
354190,1184
351130,1183
353720,1180
3538501,1176
3533007,1175
350440,1175
350340,1174
351430,1174
3505807,1171
3522802,1168
352860,1166
350040,1163
350370,1159
355110,1154
355140,1144
3532405,1140
354490,1136
355440,1133
351780,1132
354420,1132
354430,1130
350930,1126
3548005,1126
3515400,1120
351290,1119
3554300,1119
3536208,1117
352020,1114
353660,1107
3512001,1104
355300,1102
355730,1100
353475,1096
3545001,1093
354050,1090
3542404,1084
3511409,1080
350690,1077
3538105,1071
351900,1071
3535606,1070
352160,1067
3520442,1063
353480,1054
353290,1048
3507803,1043
3550902,1042
350360,1039
354210,1032
351660,1028
352810,1024
351520,1022
3555109,1021
355635,1017
351535,1014
351990,1013
354570,1012
3521903,997
3556800,994
3520905,994
3514502,993
3545605,992
3521002,991
3508108,991
3514809,987
3530201,986
3520400,986
3541208,981
351905,979
3511003,978
3512407,978
3524600,976
3523503,972
350640,965
3528007,961
3525201,951
351980,951
3535804,947
3507407,946
352380,941
353510,941
3537008,933
3557204,932
354350,932
353750,931
352150,930
3507100,929
3552700,916
350540,914
3506300,913
3521408,909
3501004,908
3513900,908
351950,908
3540804,907
3510708,905
3534906,903
3556008,903
353120,900
3556602,899
355350,898
3504206,894
351120,887
3550803,885
354950,882
354790,882
3535408,879
3528809,870
3553609,861
352760,860
355230,855
3510302,851
3511607,846
3544251,844
350180,843
354460,842
3540754,838
351560,838
355490,838
354690,836
3511706,835
3516002,835
3551801,834
354250,828
353410,827
3506706,827
354480,825
3536000,824
3517505,822
354515,821
355050,820
3523602,818
3514908,817
353230,814
352700,811
355390,807
3552601,807
3509908,806
353360,805
352420,805
351470,802
351885,801
3539400,801
3538204,801
351920,799
3546702,798
3517000,792
354805,791
351460,789
353282,787
350510,786
354810,785
3550001,783
3543808,783
355495,781
353680,779
353280,777
3522901,775
352650,774
3545407,772
3546009,771
353990,769
354325,767
3529807,765
351320,765
350260,758
353640,756
3525508,753
351210,749
3548609,748
3535200,746
3543709,746
355310,742
3516903,741
3523305,740
354820,739
351810,738
3532603,738
355320,736
354200,736
353570,734
351730,734
351190,733
3541703,723
353770,717
350310,716
3501152,716
351400,708
353610,704
3506805,699
3535002,698
3551900,695
3541901,695
3549953,694
350055,692
352630,691
350945,691
352660,690
3542909,688
3532504,687
3521309,686
355290,682
3518503,680
355200,680
3514304,676
3504909,674
3519402,672
3554706,667
352770,666
354040,664
354510,652
352110,648
3517901,647
353210,647
3536307,645
3537206,642
3539004,642
3500402,642
3502754,642
355120,641
350300,641
352450,639
352950,638
354270,637
350230,636
3516606,636
3555604,636
352060,635
3540903,631
352370,627
3543501,625
355690,625
3528601,619
352070,616
3519105,616
3555802,615
354320,613
350980,610
351260,603
351925,602
3539103,601
351250,599
350080,590
350110,587
352580,587
350350,586
3532009,585
350770,584
353160,582
3521606,581
3536604,579
354700,578
3504404,578
355535,569
3504602,567
355550,566
3505401,565
350910,564
3517802,564
3544202,564
354650,562
350430,559
351890,555
3542107,555
350075,555
3553955,555
3503604,553
3519907,551
3515202,548
3517208,546
3509304,545
354010,542
354360,541
350535,538
3512902,537
350120,537
350830,536
352780,532
351710,531
3519006,531
353040,528
352960,528
352300,528
3556107,525
3503406,525
352890,524
352115,523
355420,517
3528106,517
3551108,515
355385,514
350020,514
351015,513
3544905,510
350730,508
3534807,508
353590,507
350140,506
3503703,505
3523800,505
352820,504
3540507,503
353420,501
3504800,500
3551405,499
3506904,499
3532306,498
353370,494
350060,494
354110,493
352490,491
354960,491
353960,488
353400,485
3553005,483
3544301,480
3511300,480
3545704,479
353270,479
3554409,478
354105,477
3553500,477
3515350,477
353220,475
3535101,475
354840,474
3537503,474
350890,473
354230,472
3549508,471
350200,470
3519808,469
351685,466
3557303,466
350820,463
354620,460
352830,457
3519501,456
354280,455
352215,455
3556354,453
3532900,453
3524204,453
3550506,452
3501806,449
352560,449
351519,449
352120,447
354450,447
350995,446
352080,446
353830,441
351590,441
3521507,440
3520202,440
3531209,438
354025,438
3511201,437
353170,436
350240,433
3518107,430
351680,428
3546900,428
3515152,423
352870,421
355460,419
3506409,419
354900,415
355255,415
3532827,413
3519204,411
3547908,411
3526308,410
3534104,410
354710,409
3536802,409
3505104,409
3548104,409
353325,409
351270,408
351492,407
3533601,406
353090,405
352200,405
3515608,401
3542503,399
3553203,396
350500,395
350090,394
351610,393
354740,392
354550,392
353205,388
354310,387
3520426,385
3539905,382
350150,382
353000,380
353450,378
3544608,378
3548203,378
354830,378
352265,377
3514700,377
353380,373
3551207,373
3518859,372
3502606,371
353690,369
3526506,368
355130,368
350715,367
353970,367
354165,366
354030,365
353310,365
3552304,365
3544806,364
3517307,364
3543253,363
351010,362
3512605,360
3554904,358
353330,357
352790,357
3527009,357
3514007,354
3526605,352
355365,351
3534757,350
3553906,349
351512,348
3509452,347
351650,347
3553104,347
3503109,344
3527603,343
3542008,343
355465,343
3519055,343
3520608,342
353320,341
351420,340
3508306,340
3554953,336
354930,336
3504305,335
352540,335
3545159,333
3552007,333
3525805,332
3535705,332
352725,331
3513207,330
354180,330
352885,329
351090,328
354920,325
3537701,324
3501103,324
3523701,322
3509809,320
3512100,320
3532801,319
350775,318
351495,318
3533700,316
354610,311
3540408,310
3548054,309
353625,308
354323,307
3514601,306
3520707,306
3554201,306
353284,306
352750,305
3536406,304
3545100,302
3552908,301
351580,300
3511904,300
3543204,300
3541109,299
353100,299
3542305,299
3549607,298
3527702,297
3547007,296
3555505,296
353215,296
351330,295
353715,295
3500550,294
3502309,293
3503505,292
355715,291
350315,290
3523008,290
3507704,290
3505351,290
351530,289
350620,288
3501202,288
3531605,287
3532108,286
3542701,285
354440,285
355520,283
355530,282
351800,277
3503000,276
352910,273
350470,272
3524501,271
3540101,268
3546504,266
3518909,266
3542800,265
3501400,263
3521200,263
3517109,263
354470,262
3500808,261
3528908,261
354085,260
3529500,255
3536109,251
352965,251
3529609,250
3516804,247
3532702,247
3527801,246
354720,246
3508900,245
3512506,245
3500758,244
3548401,244
351385,244
350745,244
3541059,243
3528205,243
350335,243
3539608,242
352585,240
3509106,240
3556909,240
3555356,240
3530409,238
3510153,236
3553856,236
3554607,235
3535903,232
3522158,228
3515905,228
3515194,228
3508207,227
3543600,227
355695,226
3507308,225
3502408,225
3531704,224
3538303,224
3525607,224
3516101,220
3520806,219
3533809,218
3505005,216
3500204,214
355570,214
354625,214
3509957,213
3524907,213
3521101,213
3543105,210
3528304,210
3502002,209
350395,207
354765,207
3532207,205
353657,205
354925,204
351565,204
3512704,202
355590,201
3522653,199
3500600,196
3500907,195
3525409,194
3547403,193
3546207,193
3530904,193
3533254,192
3534005,192
3527504,191
3540259,190
3552551,190
3510104,188
3503158,188
3501509,188
3522000,185
3532058,180
3534203,177
3516853,177
3539707,177
3519253,176
3554656,176
3549201,175
3527900,174
3514924,172
3528700,172
3514957,171
3530003,170
3544509,170
3518008,169
3515129,168
3540309,168
3545506,167
3549003,165
3533304,165
3515806,165
3548302,164
3547106,163
3537156,162
3532843,162
3536901,159
3516507,159
3533106,158
3553658,158
355475,157
3514205,156
3555307,154
3534500,153
3544707,153
3510906,151
3546108,149
3551306,148
3527256,145
3521150,142
3513306,141
3529104,141
3543238,139
3549300,139
3515301,139
3536257,137
3544400,137
3547205,136
3533205,135
3541802,134
3506201,134
3555208,132
3541653,131
3507159,131
3503950,131
353286,127
3507456,127
3531001,125
3529658,123
3503356,119
3540853,119
3507753,115
3557154,111
3536570,111
3555901,105
3525854,104
3532157,104
3528858,102
3556958,96
350720,95
3513850,92
3546256,88
3549250,86
3504701,80
3515657,79
3555703,74
3547650,73
3554755,65
3532868,48
3507209,42
3580586,16
3580388,1
3580479,1
3580370,1
3580495,1
3580313,1
3580289,1
3580180,1
3580073,1
3580396,1
3580271,1
