,OCUP
999993.0,1251220
700.0,985527
999992.0,782476
800.0,250541
998999.0,180069
99900.0,107986
715210.0,98171
141410.0,75886
62100.0,74922
95100.0,58332
512105.0,57795
98500.0,55916
41000.0,53096
999994.0,52267
782305.0,49395
600.0,40275
354705.0,39902
621005.0,37316
521110.0,36896
999991.0,35492
200.0,34240
622020.0,32824
45100.0,27206
31000.0,25686
514210.0,24722
58300.0,24014
0.0,23177
513205.0,20688
782510.0,20455
914405.0,19929
231210.0,19187
716610.0,18904
241005.0,16920
517330.0,16616
84600.0,15865
93000.0,15420
717020.0,14931
14000.0,14799
725205.0,14607
55100.0,14586
54000.0,14318
763210.0,14229
512120.0,14019
61200.0,13730
517410.0,13225
121010.0,13224
771105.0,12658
252210.0,12402
411005.0,12211
252105.0,11872
517310.0,11692
99200.0,11588
55200.0,10534
622005.0,10482
39300.0,10422
715505.0,10012
516110.0,9640
85000.0,9469
782315.0,9269
79100.0,9151
783225.0,9078
96200.0,8982
231205.0,8876
500.0,8870
214205.0,8833
715615.0,8735
622010.0,8630
53100.0,8369
862150.0,8050
784205.0,8010
724315.0,7970
81100.0,7949
517420.0,7779
322230.0,7759
724440.0,7695
411010.0,7591
99100.0,7427
721215.0,7379
951105.0,7215
782310.0,7172
23000.0,7146
821415.0,7101
95400.0,7071
354605.0,6990
763010.0,6939
413225.0,6573
12100.0,6258
39800.0,6199
141405.0,6155
30000.0,6153
7200.0,6126
49000.0,6086
991305.0,6081
710205.0,6064
223505.0,6043
21210.0,5904
57000.0,5793
724110.0,5592
87300.0,5519
223115.0,5481
58200.0,5216
514120.0,5209
400.0,5135
524205.0,5000
848510.0,4931
524305.0,4851
111415.0,4840
763015.0,4836
782505.0,4819
53200.0,4818
519110.0,4754
99000.0,4658
10310.0,4526
513405.0,4513
848305.0,4461
521135.0,4420
252305.0,4419
39000.0,4401
70100.0,4388
83300.0,4353
39900.0,4294
24000.0,4157
2100.0,4095
83900.0,4056
782410.0,3988
39100.0,3977
512115.0,3946
513425.0,3913
322205.0,3891
87100.0,3888
414105.0,3843
77600.0,3789
911305.0,3761
87200.0,3733
723310.0,3689
44100.0,3611
410105.0,3605
641015.0,3582
612005.0,3537
223208.0,3532
97100.0,3460
33900.0,3442
721105.0,3435
39700.0,3429
142105.0,3346
422105.0,3293
45200.0,3251
421125.0,3192
992225.0,3158
511215.0,3157
516210.0,3136
3400.0,3132
766215.0,3009
516120.0,2829
251205.0,2825
768320.0,2817
992115.0,2785
4000.0,2782
622110.0,2745
92000.0,2736
3000.0,2722
611005.0,2651
6100.0,2648
725010.0,2616
331205.0,2589
80100.0,2587
521130.0,2586
514225.0,2578
75400.0,2567
512110.0,2533
43200.0,2524
262105.0,2514
11000.0,2506
517405.0,2467
313215.0,2438
84500.0,2363
783220.0,2358
99600.0,2357
33100.0,2315
32100.0,2282
333115.0,2246
763005.0,2188
263105.0,2132
334110.0,2130
251510.0,2061
90200.0,2059
422205.0,2054
422310.0,2033
223405.0,2025
142305.0,1995
261125.0,1988
19600.0,1945
214305.0,1932
782220.0,1922
59900.0,1915
239415.0,1889
79900.0,1877
111410.0,1850
761309.0,1820
516105.0,1814
212405.0,1813
514215.0,1810
421310.0,1805
21205.0,1785
521125.0,1767
79600.0,1754
23400.0,1740
95200.0,1736
262405.0,1732
716305.0,1696
98700.0,1642
142320.0,1624
414215.0,1619
60000.0,1590
83200.0,1586
232115.0,1584
253115.0,1583
6300.0,1583
93900.0,1567
517215.0,1548
95500.0,1531
519205.0,1516
39400.0,1499
99400.0,1496
213205.0,1487
75900.0,1486
351105.0,1466
391205.0,1438
99300.0,1427
724515.0,1415
261805.0,1409
251605.0,1400
313130.0,1385
214105.0,1369
414210.0,1368
31400.0,1367
354505.0,1350
914305.0,1338
89200.0,1331
516205.0,1315
783110.0,1294
3900.0,1294
991315.0,1293
716405.0,1292
848310.0,1287
342405.0,1284
262710.0,1278
763215.0,1267
56000.0,1267
24300.0,1250
521115.0,1239
36000.0,1237
214405.0,1235
413220.0,1231
413210.0,1225
517315.0,1223
17100.0,1199
411030.0,1198
521105.0,1171
761303.0,1155
517325.0,1142
351810.0,1132
222110.0,1111
715305.0,1082
774105.0,1081
3800.0,1062
14900.0,1061
38000.0,1042
631210.0,1036
412205.0,1035
768105.0,1029
66500.0,1022
331105.0,988
314110.0,984
623110.0,973
514105.0,971
519935.0,970
371310.0,939
752105.0,934
413110.0,928
42100.0,926
862120.0,926
354205.0,926
752305.0,925
31100.0,924
314620.0,921
313315.0,894
782405.0,886
15200.0,870
351405.0,868
61100.0,867
515110.0,867
242305.0,861
16300.0,851
84200.0,849
764005.0,848
9100.0,847
761306.0,846
34200.0,839
322410.0,834
6700.0,822
415205.0,803
351605.0,793
99800.0,762
724410.0,761
423105.0,751
64100.0,744
514205.0,739
715315.0,736
252540.0,724
8300.0,723
391115.0,721
21110.0,720
510125.0,719
313220.0,714
3600.0,713
513210.0,705
3500.0,695
751125.0,690
95700.0,686
514115.0,680
97900.0,676
511205.0,671
782620.0,665
991405.0,663
516305.0,663
351425.0,659
953115.0,656
223305.0,653
516115.0,652
768110.0,650
313105.0,649
94000.0,645
782610.0,643
352210.0,642
716525.0,642
313205.0,638
514110.0,633
513315.0,633
351505.0,630
613005.0,628
424125.0,626
721325.0,624
721210.0,622
123105.0,622
44000.0,622
314115.0,621
214505.0,619
312320.0,617
334105.0,611
715230.0,604
773355.0,596
513435.0,596
524105.0,595
223605.0,594
318005.0,591
231105.0,590
19400.0,589
111220.0,583
910105.0,582
261205.0,582
724435.0,578
141205.0,558
765110.0,557
523115.0,554
261715.0,550
84900.0,550
324115.0,549
784105.0,545
783210.0,540
515215.0,539
422305.0,538
353235.0,537
111405.0,535
262705.0,531
342205.0,527
515225.0,526
312105.0,526
723320.0,523
131310.0,523
96900.0,521
311105.0,518
24100.0,514
342210.0,508
37000.0,504
141615.0,504
413205.0,504
352310.0,502
412110.0,501
88000.0,499
84300.0,499
333105.0,495
221105.0,494
42200.0,493
715610.0,493
421105.0,490
768605.0,490
516345.0,487
848315.0,486
252405.0,483
223710.0,482
524210.0,474
212415.0,473
95900.0,473
252205.0,472
16100.0,470
84000.0,467
722205.0,467
822120.0,465
782705.0,458
724405.0,454
410205.0,453
141415.0,451
725705.0,450
732105.0,447
622610.0,444
632615.0,441
15300.0,441
992205.0,439
631020.0,437
252545.0,436
83100.0,434
631105.0,433
828110.0,430
515105.0,426
712225.0,423
354145.0,420
92100.0,420
741125.0,417
351420.0,417
98600.0,416
914425.0,413
520110.0,411
58900.0,411
766250.0,411
516135.0,410
3300.0,406
2400.0,400
5300.0,391
75600.0,386
16200.0,384
131305.0,383
314410.0,379
142115.0,378
87000.0,376
782120.0,372
142205.0,371
85500.0,371
761345.0,370
318505.0,364
313120.0,361
421305.0,358
39200.0,357
99500.0,355
724415.0,355
7600.0,351
331110.0,348
623105.0,348
19300.0,346
98100.0,346
516325.0,345
79500.0,345
321105.0,343
354815.0,342
234505.0,336
414205.0,334
89100.0,333
1100.0,333
254410.0,331
342535.0,327
123605.0,323
517210.0,322
254105.0,321
318810.0,320
761410.0,319
763325.0,314
214310.0,313
261420.0,312
317110.0,308
31210.0,308
411020.0,307
111325.0,307
919205.0,306
351115.0,305
31300.0,305
13100.0,305
841408.0,302
30900.0,297
353230.0,295
234520.0,293
411025.0,290
622420.0,288
92200.0,288
234624.0,284
141705.0,283
262905.0,282
262410.0,282
8400.0,281
715205.0,281
239405.0,281
71100.0,278
262505.0,277
263110.0,276
317210.0,276
123305.0,274
413230.0,273
93100.0,269
413115.0,269
97300.0,267
823315.0,266
24200.0,264
515210.0,264
768205.0,263
318510.0,261
114305.0,257
513420.0,254
724205.0,253
215305.0,253
354125.0,252
783215.0,251
3100.0,251
318805.0,249
516405.0,248
513115.0,248
79400.0,246
950205.0,242
773110.0,242
21300.0,240
641010.0,240
325110.0,239
39600.0,238
761327.0,238
422215.0,236
516330.0,235
919310.0,233
262610.0,233
31200.0,233
99700.0,232
253105.0,231
318010.0,231
821305.0,231
212420.0,230
723330.0,229
4100.0,227
6500.0,226
231315.0,223
85400.0,223
353225.0,222
914105.0,221
251120.0,221
332105.0,221
142405.0,219
301105.0,217
232120.0,216
2300.0,216
822115.0,215
7700.0,213
768625.0,209
715120.0,209
59100.0,208
516610.0,206
517220.0,205
517415.0,204
252525.0,203
223620.0,202
239430.0,202
322225.0,201
30100.0,201
92600.0,199
775115.0,199
519940.0,198
716510.0,197
516505.0,196
911205.0,195
254310.0,194
992210.0,194
214365.0,194
766205.0,193
79700.0,192
510310.0,192
760120.0,191
764305.0,191
20305.0,191
19100.0,190
10210.0,190
517110.0,190
313415.0,189
721410.0,188
782515.0,188
821405.0,187
351305.0,186
5100.0,185
763020.0,184
142210.0,181
85700.0,181
715525.0,181
31205.0,180
58100.0,180
7100.0,178
813125.0,177
214120.0,177
141305.0,176
765235.0,176
322110.0,172
721430.0,172
313310.0,171
318610.0,169
919105.0,167
20205.0,166
15900.0,165
351740.0,165
321110.0,165
253305.0,165
354110.0,164
214610.0,161
18200.0,161
420135.0,161
254405.0,161
214410.0,160
7900.0,160
32300.0,160
375105.0,159
31900.0,157
723315.0,157
223610.0,156
622505.0,155
342610.0,153
97400.0,152
142415.0,152
721425.0,152
513215.0,151
715545.0,151
314405.0,151
234915.0,149
33200.0,149
763110.0,148
763205.0,148
715125.0,148
19200.0,148
213210.0,148
72800.0,147
524215.0,147
414110.0,147
52000.0,146
75200.0,146
253120.0,145
111120.0,145
828105.0,145
21105.0,145
353205.0,144
782805.0,144
72900.0,144
322220.0,144
516415.0,143
782110.0,143
613305.0,143
39500.0,143
511105.0,142
351110.0,141
354120.0,141
511405.0,140
523110.0,140
354820.0,140
782130.0,140
623015.0,140
223410.0,140
123110.0,140
322415.0,138
782415.0,138
725015.0,137
632120.0,137
141505.0,137
376315.0,137
261305.0,137
773120.0,136
141510.0,136
123115.0,136
514220.0,135
773325.0,135
239410.0,135
142315.0,134
50000.0,133
722105.0,133
232105.0,133
214125.0,132
773405.0,132
85600.0,131
717015.0,131
12900.0,130
848520.0,130
232110.0,130
818105.0,130
725105.0,130
77300.0,129
123410.0,129
519320.0,129
911110.0,128
422315.0,127
17300.0,127
204105.0,126
372210.0,126
223132.0,126
223110.0,126
766315.0,125
725505.0,125
411045.0,125
2900.0,125
241040.0,124
242235.0,124
919110.0,124
510105.0,124
231335.0,124
19500.0,124
212315.0,123
711215.0,122
351410.0,121
214905.0,120
313115.0,120
724115.0,120
261110.0,120
44200.0,119
241335.0,119
782210.0,119
214805.0,119
622305.0,119
10205.0,119
301110.0,119
20110.0,119
311605.0,117
312210.0,117
213405.0,117
6800.0,117
821450.0,116
234810.0,116
914415.0,116
751010.0,116
2500.0,116
622205.0,115
351815.0,115
20310.0,114
721115.0,114
622105.0,113
623020.0,112
716520.0,112
821205.0,110
141605.0,110
763105.0,110
19900.0,110
322420.0,109
623115.0,109
354810.0,107
231110.0,107
65100.0,106
300305.0,106
314125.0,106
623005.0,106
377110.0,105
840105.0,105
710210.0,105
414115.0,104
517205.0,104
761005.0,104
214420.0,104
223149.0,103
322310.0,103
98000.0,103
84100.0,102
725005.0,102
141710.0,102
73200.0,102
752405.0,102
721315.0,102
313305.0,101
142705.0,101
86200.0,101
519915.0,101
752430.0,100
92900.0,100
351430.0,99
80200.0,98
519905.0,98
519925.0,98
242405.0,98
254205.0,98
632205.0,98
391215.0,98
318015.0,97
251530.0,96
720155.0,96
782205.0,95
318405.0,94
254305.0,94
782625.0,93
811820.0,93
411015.0,93
234616.0,93
75300.0,93
3700.0,93
391125.0,93
20105.0,92
721225.0,92
715115.0,92
77100.0,92
7500.0,92
848515.0,92
715410.0,92
510110.0,91
848325.0,91
213105.0,91
9200.0,90
510135.0,89
262620.0,89
520105.0,89
823305.0,89
18100.0,89
377105.0,88
516335.0,88
311625.0,88
764210.0,88
212410.0,87
241220.0,87
715215.0,87
613405.0,87
516125.0,87
763310.0,87
83500.0,86
83600.0,86
515120.0,86
242210.0,86
261515.0,86
841810.0,86
913115.0,86
21400.0,86
720215.0,85
333110.0,85
67100.0,84
911325.0,84
731135.0,84
760305.0,84
724510.0,84
715145.0,84
782115.0,84
313410.0,84
861110.0,83
324205.0,83
13000.0,82
314105.0,82
622210.0,82
622015.0,82
415210.0,81
322305.0,81
354135.0,81
261120.0,81
63500.0,81
954105.0,81
234410.0,80
376215.0,80
354210.0,80
342305.0,80
261215.0,80
262615.0,80
841420.0,80
761324.0,80
351715.0,79
784110.0,79
65900.0,79
21100.0,79
231310.0,79
325105.0,79
783105.0,78
317205.0,78
224135.0,78
841416.0,77
97200.0,77
252515.0,77
232140.0,77
632605.0,77
251550.0,77
722315.0,77
765310.0,76
314120.0,76
768610.0,76
223140.0,75
914410.0,75
422210.0,75
76100.0,75
511110.0,75
215105.0,74
95300.0,74
711405.0,74
17000.0,74
374420.0,73
90300.0,73
342310.0,73
83400.0,73
823210.0,72
261520.0,72
114205.0,72
763320.0,72
214110.0,72
420105.0,72
722215.0,71
731150.0,71
318605.0,71
75500.0,71
317105.0,71
421315.0,71
862105.0,70
712220.0,70
261140.0,70
731165.0,70
717010.0,70
17900.0,70
715405.0,70
234510.0,70
372115.0,69
224120.0,69
233105.0,69
10215.0,69
214915.0,69
15100.0,69
74900.0,69
860105.0,69
911105.0,69
911120.0,68
770110.0,68
516340.0,68
415130.0,68
513305.0,68
954210.0,68
17500.0,68
725020.0,68
391210.0,68
313125.0,67
223129.0,67
342505.0,67
862110.0,66
231305.0,66
731325.0,66
342410.0,66
54100.0,66
773315.0,66
98400.0,66
823215.0,66
992105.0,65
375110.0,65
123805.0,65
784115.0,65
711210.0,65
354305.0,65
80300.0,65
35100.0,64
312305.0,64
371105.0,64
818110.0,63
201105.0,63
725415.0,63
122305.0,63
513105.0,63
351705.0,63
371410.0,63
45300.0,63
391230.0,63
641005.0,62
760310.0,62
252310.0,62
374120.0,62
123205.0,62
715220.0,61
58400.0,61
766155.0,61
253215.0,61
722220.0,61
262830.0,60
77400.0,60
20115.0,60
724220.0,60
141115.0,60
811745.0,60
519910.0,59
422120.0,59
352205.0,59
354805.0,59
351415.0,59
232155.0,59
314615.0,59
519105.0,58
233210.0,58
331305.0,58
724325.0,58
720150.0,58
351720.0,57
521120.0,57
766230.0,57
954125.0,57
712205.0,57
711110.0,57
376305.0,57
511210.0,57
239425.0,57
223146.0,57
771110.0,57
782710.0,57
731320.0,57
262205.0,56
760405.0,56
811310.0,56
410235.0,56
251220.0,56
760105.0,56
214360.0,56
741120.0,55
142530.0,55
341310.0,55
318205.0,55
342315.0,55
223310.0,55
318815.0,55
766145.0,55
813130.0,54
950110.0,54
81900.0,54
725210.0,54
374305.0,54
201205.0,54
222105.0,54
314210.0,54
730105.0,53
214215.0,53
60100.0,53
711230.0,53
141420.0,53
412105.0,53
848505.0,53
782105.0,52
223106.0,52
763305.0,52
848525.0,52
311710.0,52
412115.0,52
300.0,52
231340.0,51
341105.0,51
111345.0,51
716105.0,51
511220.0,51
64300.0,51
841484.0,51
720110.0,51
17200.0,50
410230.0,50
732110.0,50
766320.0,50
732125.0,50
765105.0,50
59200.0,50
725510.0,50
263115.0,50
951305.0,50
631205.0,49
517115.0,49
813105.0,49
75100.0,49
325205.0,49
261720.0,48
223153.0,48
71900.0,48
354130.0,48
821220.0,48
314610.0,48
253110.0,48
421205.0,48
211205.0,47
775105.0,47
374110.0,47
954120.0,47
911320.0,47
764205.0,47
510205.0,47
724505.0,47
3200.0,46
811005.0,46
324210.0,46
342110.0,46
760110.0,46
215150.0,46
782815.0,46
722320.0,46
954205.0,46
862205.0,46
373105.0,46
991310.0,46
783205.0,46
241015.0,45
833110.0,45
761425.0,45
92500.0,45
721220.0,45
141720.0,45
422320.0,45
422110.0,45
311715.0,45
524310.0,45
768305.0,45
821215.0,45
122205.0,45
723225.0,45
721415.0,44
342115.0,44
510120.0,44
251215.0,44
231325.0,44
10315.0,44
373205.0,44
354140.0,44
751110.0,43
722410.0,43
142410.0,43
232145.0,43
914110.0,42
141515.0,42
773345.0,42
142520.0,42
211115.0,42
31110.0,42
84400.0,42
723215.0,42
262810.0,42
43100.0,42
17400.0,42
862505.0,42
203520.0,42
141110.0,41
322105.0,41
768325.0,41
376225.0,41
516310.0,41
951310.0,41
761205.0,41
622410.0,41
766305.0,41
77700.0,40
251225.0,40
231320.0,40
721205.0,40
623310.0,40
251305.0,40
92400.0,40
353215.0,40
35400.0,40
523105.0,40
214425.0,40
620105.0,40
720135.0,40
723220.0,40
262110.0,39
761357.0,39
261730.0,39
261525.0,39
212310.0,39
715135.0,39
411040.0,39
862305.0,39
261410.0,39
623125.0,39
711245.0,38
224125.0,38
811410.0,38
142515.0,38
722225.0,38
232135.0,38
223204.0,38
85900.0,38
752230.0,38
715130.0,38
811715.0,38
751020.0,38
715140.0,38
632125.0,38
313320.0,38
623305.0,38
351805.0,38
252510.0,37
780105.0,37
318410.0,37
513430.0,37
374205.0,37
766420.0,37
766405.0,37
911310.0,37
732120.0,37
71500.0,37
1200.0,37
313210.0,37
813115.0,37
811415.0,36
253125.0,36
760125.0,36
612605.0,36
212305.0,36
214510.0,36
64200.0,36
731145.0,36
848110.0,36
98300.0,36
715530.0,36
722115.0,36
222120.0,35
517105.0,35
262605.0,35
323105.0,35
223104.0,35
351310.0,35
223144.0,35
223232.0,35
715510.0,35
715705.0,35
711225.0,35
761240.0,35
64900.0,35
752110.0,35
342105.0,35
813110.0,34
782615.0,34
910205.0,34
261605.0,34
252530.0,34
342605.0,34
782605.0,34
341315.0,34
731110.0,34
254110.0,34
311505.0,34
5200.0,33
622310.0,33
622425.0,33
751120.0,33
517305.0,33
300105.0,33
421110.0,33
252215.0,33
352305.0,33
724420.0,33
833120.0,33
516315.0,33
612110.0,32
123310.0,32
954305.0,32
768710.0,32
752210.0,32
752205.0,32
725305.0,32
992120.0,32
766120.0,32
914205.0,32
811630.0,32
732130.0,32
